# 일본어 표제어 -> 한국어 뜻
#
# JMdict의 영어 뜻(CC BY-SA 4.0)을 참고해 한국어로 옮긴 것이므로, 이 파일도 JMdict의
# 파생 데이터에 해당한다. LICENSES.md 참고.
#
# 형식: 표제어<TAB>한국어뜻
# 검수 시에는 build/vocab_raw.csv 의 english 컬럼과 대조하면 된다.
一つ	하나, 한 개
車庫	차고
退院	퇴원
速さ	속도, 빠르기
連中	패거리, 무리
適応	적응
郵送	우송
配布	배포
録画	녹화
間接	간접
集落	취락, 마을
頼み	부탁
願望	소망
飛び出す	뛰쳐나오다
食い違い	어긋남, 불일치
食器	식기
駐車	주차
骨折	골절
ご存じ	알고 계심
一周	일주
一様	한결같음
一段落	일단락
三角	삼각
不公平	불공평함
不思議	신기함, 이상함
不景気	불경기
人情	인정
伝達	전달
値引き	값을 깎음, 할인
先決	선결
入場券	입장권
公民館	공민관, 주민센터
共働き	맞벌이
内面	내면
円形	원형
出願	출원, 지원
分布	분포
別個	별개
効力	효력
単行本	단행본
原子	원자
双子	쌍둥이
反映	반영
口実	구실, 핑계
否決	부결
商人	상인
園芸	원예
境内	경내
変身	변신
夏季	하계, 여름철
実名	실명
家畜	가축
宿題	숙제
工程	공정
張る	펴다, 붙이다
待望	대망, 고대함
待機	대기
応答	응답
採点	채점
改札	개찰
改築	개축
旅券	여권
旅客機	여객기
最上	최상
月給	월급
未婚	미혼
未知	미지
枚数	장수(枚數)
果実	과실, 열매
欲求	욕구
歳月	세월
段取り	절차, 준비
毛布	담요
洗濯機	세탁기
海面	해면
消火	소화(불 끄기)
温室	온실
灰色	회색
炭	숯
無用	쓸모없음, 필요 없음
燃焼	연소
版	판(版)
産婦人科	산부인과
登記	등기
盗難	도난
目当て	목표, 노림
相対的	상대적
神父	신부(가톨릭)
移す	옮기다
粉	가루
紅茶	홍차
翌朝	이튿날 아침
育ち	자람, 성장
自営	자영
花束	꽃다발
草原	초원
荷	짐
衣服	의복
補欠	보결, 결원 보충
負う	짊어지다, 떠맡다
超過	초과
迎え	마중
通路	통로
関節	관절
静止	정지
頂上	정상, 꼭대기
領海	영해
食欲	식욕
下流	하류
下降	하강
不能	불능
両側	양쪽
並木	가로수
中次ぎ	중계, 이음
交わす	주고받다
交互	교대, 번갈아
人間性	인간성
以降	이후
仲良く	사이좋게
低気圧	저기압
低温	저온
体温	체온
保留	보류
修学旅行	수학여행
偶然	우연
優しい	상냥하다
公使	공사(외교관)
再会	재회
分類	분류
判明	판명
別居	별거
到達	도달
刺身	회, 사시미
刻む	잘게 썰다, 새기다
割り当て	할당
加害者	가해자
務め	임무, 근무
区役所	구청
単語	단어
危うい	위태롭다
危うく	하마터면
受け取	영수증
受け身	수동적임
和歌	와카(일본 시가)
和風	일본풍
営利	영리
圧倒	압도
地形	지형
増し	나음, 더함
外観	외관
多量	다량
実例	실례, 사례
客室	객실
宿命	숙명
寝室	침실
小量	소량
左側	왼쪽
応対	응대
応接	응접
悪夢	악몽
情緒	정서
想定	상정, 가정
意志	의지
愛しい	사랑스럽다
指輪	반지
救い	구원, 도움
新婚	신혼
旅費	여비
日刊	일간
日差し	햇살
明記	명기
時差	시차
景色	경치
書留	등기우편
最小	최소
栄光	영광
極	극히, 지극히
構う	상관하다, 신경 쓰다
欲望	욕망
毛皮	모피
気配り	배려
水害	수해
決まる	정해지다
流し	싱크대
漁師	어부
無名	무명
無期限	무기한
無限	무한
熱い	뜨겁다
町角	길모퉁이
疑う	의심하다
皮肉	비꼼, 아이러니
破る	찢다, 깨뜨리다
細工	세공
経る	거치다, 지나다
緑色	녹색
腕時計	손목시계
自発的	자발적
良心	양심
落ち着き	침착함
行き過ぎ	지나침
要	요점, 요체
記号	기호
許容	허용
貧富	빈부
賢明	현명함
贈り物	선물
赤ん坊	갓난아기
身の回り	신변, 일상용품
追求	추구
進化	진화
過ち	잘못, 과오
配る	나누어 주다
銀河	은하
難関	난관
電報	전보
震度	진도
頭脳	두뇌
類似	유사
風船	풍선
飛行場	비행장
一杯	한 잔, 가득
万能	만능
下半身	하반신
不合格	불합격
不必要	불필요함
世相	세태
並びに	및, 그리고
乳児	영아, 젖먹이
予感	예감
交通費	교통비
仮面	가면
余り	나머지, 그다지
修業	수업(학업 닦기)
公言	공언
共有	공유
内心	내심
内臓	내장
分解	분해
初夏	초여름
判例	판례
勝手	제멋대로임, 형편
単調	단조로움
反	반~, 반대
反則	반칙
右側	오른쪽
向こう	건너편, 상대편
周期	주기
喜ばす	기쁘게 하다
喜ぶ	기뻐하다
国宝	국보
塩分	염분
変	이상함
変形	변형
始末	처리, 자초지종
完了	완료
定める	정하다
寝る	자다, 눕다
対照	대조
封	봉인
小児科	소아과
屋内	실내
平常	평상, 평소
平面	평면
幸い	다행임
座談会	좌담회
恐らく	아마도
恐れる	두려워하다
愛着	애착
慣習	관습
成り立つ	성립하다
成り行き	되어가는 형편
採取	채취
接続	접속
支度	준비, 채비
救う	구하다
晴れ	맑음
月末	월말
未成年	미성년
本線	본선
案外	의외로
極限	극한
標識	표지, 표지판
水平	수평
法則	법칙
泥棒	도둑
浴室	욕실
測量	측량
湿度	습도
火星	화성
灯油	등유
無関係	무관함
無難	무난함
燃費	연비
王様	임금님
由来	유래
留守番	집 지키기, 빈집 보기
税務署	세무서
総論	총론
美女	미녀
老化	노화
脂	기름, 지방
裏切る	배신하다
要所	요소, 요충지
記入	기입
調節	조절
路地	골목
逃げる	도망치다
逃走	도주
途上	도상, 도중
遊園地	유원지
達する	도달하다
間際	직전
除外	제외
電流	전류
領収書	영수증
高等学校	고등학교
不平等	불평등함
両立	양립
体格	체격
余る	남다
保つ	유지하다
倍増	배증, 두 배 증가
全然	전혀
円満	원만함
初任給	초봉
受ける	받다
受話器	수화기
口紅	립스틱
各自	각자
同窓会	동창회
味覚	미각
大喜び	매우 기뻐함
妻子	처자식
学期	학기
居酒屋	선술집, 이자카야
常用	상용
役場	관공서, 면사무소
打破	타파
持参	지참
捜す	찾다
損う	해치다, 손상하다
放題	마음껏 ~함
新米	햅쌀, 신참
時給	시급
最期	임종, 최후
未然	미연
権	권리, 권한
次ぐ	버금가다, 뒤잇다
次第	나름, 순서
正解	정답
歳	~세, ~살
水増し	물타기, 부풀림
決心	결심
深まる	깊어지다
無関心	무관심함
燃える	타다
片方	한쪽
田畑	논밭
略	거의, 대략
異性	이성(異性)
痛い	아프다
登用	등용
白髪	흰머리
目的地	목적지
真価	진가
眠り	잠
祖先	조상
積む	쌓다
紅葉	단풍
細い	가늘다
組む	짜다, 끼다
結末	결말
絵の具	그림물감
舞う	춤추다, 흩날리다
薬局	약국
製鉄	제철
見極める	끝까지 지켜보다, 판별하다
覚え	기억, 자각
親指	엄지손가락
解答	해답
触れ合い	교감, 접촉
諸君	제군, 여러분
豊作	풍작
辛口	매운맛, 신랄함
返上	반납
追い付く	따라잡다
退学	퇴학
連れる	데리고 가다
運河	운하
鉱業	광업
難点	난점
難解	난해함
非行	비행(非行)
面目	면목, 체면
領空	영공
風刺	풍자
香水	향수
お手伝い	가사도우미
上半身	상반신
下宿	하숙
不備	미비함
不快	불쾌함
中庭	안뜰
中流	중류
乗り越える	극복하다, 타고 넘다
乾電池	건전지
予告	예고
事務室	사무실
仏像	불상
代名詞	대명사
伝言	전언, 메시지
使い捨て	일회용
停車	정차
光線	광선
公然	공공연함
初め	처음, 시작
券	권, 티켓
占い	점(占)
反感	반감
叫び	외침
同感	동감
同等	동등함
埋め立て	매립
増減	증감
大雪	폭설
失格	실격
学費	학비
宝物	보물
実況	실황
実物	실물
害	해, 피해
容積	용적
尊敬	존경
小麦粉	밀가루
差し引き	차감, 공제
必然的	필연적
性急	성급함
憎悪	증오
手袋	장갑
手配	수배, 준비
故意	고의
数える	세다
昼過ぎ	정오 지난 무렵
本能	본능
校庭	교정, 운동장
植木	정원수
植物園	식물원
油絵	유화
浴衣	유카타
深み	깊이, 깊은 곳
無意識	무의식
無残	참혹함
無理やり	억지로
独断	독단
理性	이성(理性)
田植え	모내기
申し上げる	말씀드리다
町並	거리 풍경
目録	목록
硬貨	동전
種々	여러 가지
積雪	적설
答案	답안
算数	산수
結合	결합
苦しめる	괴롭히다
落とす	떨어뜨리다
落下	낙하
虫歯	충치
見積もり	견적
観念	관념
識別	식별
賞品	상품(경품)
質量	질량
車輪	바퀴
軒	처마, ~채
軽快	경쾌함
返信	답신, 회신
連れ	동행, 일행
過渡期	과도기
重役	중역, 임원
防火	방화(불 예방)
雑草	잡초
電線	전선
食費	식비
高気圧	고기압
不可	불가
乱れる	흐트러지다
乱暴	난폭
予期	예기, 예상
交番	파출소
体型	체형
値下がり	가격 하락
優等生	우등생
先例	선례
兵役	병역
動乱	동란
原始	원시
口論	말다툼
和服	일본 전통 의복
回想	회상
帰省	귀성
幸運	행운
引っ越す	이사하다
形式的	형식적
忙しい	바쁘다
悩む	고민하다
成年	성년
探し回る	찾아 돌아다니다
換気	환기
断つ	끊다, 자르다
昨夜	어젯밤
曲がりかど	모퉁이
更に	더욱, 게다가
束	묶음, 다발
根性	근성
欲しい	갖고 싶다
歯車	톱니바퀴
歳暮	연말 선물
残らず	남김없이
残る	남다
毎晩	매일 밤
氷山	빙산
海辺	해변
無実	무죄, 사실무근
相応	상응함, 걸맞음
知性	지성
社会科学	사회과학
禁じる	금하다
筆記	필기
筒	통, 관
粉末	분말
羽	깃털, 날개
能率	능률
苦しい	괴롭다
詰まる	가득 차다, 막히다
貧しい	가난하다
返す	돌려주다
送信	송신
遅い	늦다, 느리다
重複	중복
関門	관문
雨季	우기
領事館	영사관
お年玉	세뱃돈
万歳	만세
不変	불변
不規則	불규칙함
両替	환전
丸い	둥글다
供	동반자, 수행
処女	처녀
出迎え	마중
北極	북극
半減	반감
印紙	인지
名残	자취, 여운
吹雪	눈보라
告白	고백
和室	일본식 방
和食	일식
固体	고체
均一	균일함
変容	변모
季語	계절어(하이쿠)
安否	안부
定期券	정기권
対比	대비
引き取る	인수하다, 물러가다
引っ張る	잡아당기다
待ち受ける	기다리다
必然	필연
快速	쾌속
怖い	무섭다
憎しみ	미움, 증오
戦う	싸우다
戦死	전사
手際	솜씨
投じる	던지다, 투입하다
放置	방치
敬遠	경원(멀리함)
断然	단연
新刊	신간
日向	양지
曲線	곡선
有能	유능함
望ましい	바람직하다
来客	손님
格	격, 지위
格別	각별함
標本	표본
浮かべる	띄우다, 떠올리다
消毒	소독
液	액체
混血	혼혈
湿気	습기
無制限	무제한
照会	조회
片道	편도
甘い	달다
直通	직통
真っ最中	한창때
知能	지능
破局	파국
祝福	축복
神道	신도(일본 종교)
編入	편입
自然科学	자연과학
英和	영일(영어-일본어)
表裏	겉과 속
裏返し	뒤집음
見当	짐작, 어림
観賞	관상, 감상
調味料	조미료
贈与	증여
軽率	경솔함
適度	적당함
配列	배열
鉱物	광물
面白い	재미있다
靴下	양말
頼る	의지하다
願書	원서
風向き	풍향
髪の毛	머리카락
万年筆	만년필
三角形	삼각형
中級	중급
乗り換え	환승
事務員	사무원
伝わる	전해지다
入念	세심함, 공들임
再起	재기
冷水	냉수
刺す	찌르다
割り出す	산출하다, 추정하다
加減	가감, 정도
助ける	돕다, 구하다
勤勉	근면함
同姓	같은 성
吸い込む	빨아들이다
告げる	고하다, 알리다
命日	기일
営む	영위하다, 경영하다
図形	도형
国費	국비
変換	변환
害虫	해충
家内	집사람, 아내
干す	말리다
床の間	도코노마(장식 공간)
当人	당사자, 본인
後始末	뒷수습
心得る	알다, 명심하다
忘年会	송년회
怒る	화내다
恐ろしい	무섭다, 두렵다
慣れ	익숙함
払い	지불
折紙	종이접기
抜け出す	빠져나오다
文科	문과
断片	단편
日増しに	날로, 나날이
日課	일과
明細	명세
普段着	평상복
曇り	흐림
有毒	유독함
柔らかい	부드럽다
格子	격자
標語	표어
機関車	기관차
欲しがる	갖고 싶어 하다
欲する	원하다
泳ぐ	헤엄치다
減らす	줄이다
減る	줄다
無力	무력함
物差	자(측정 도구)
王女	공주
発熱	발열
破損	파손
確かめる	확인하다
肩代わり	대신 떠맡음
薄い	얇다, 연하다
評	평, 비평
講和	강화(화친)
貧血	빈혈
買い占める	사재기하다
軍拡	군비 확장
辺り	근처, 주변
返答	대답, 회답
退治	퇴치
送付	송부
閉店	폐점, 가게 문 닫음
険悪	험악함
際立つ	두드러지다
雑談	잡담
雑音	잡음
電柱	전봇대
高熱	고열
鳥居	도리이(신사 문)
黒板	칠판
不完全	불완전함
不順	불순함, 고르지 못함
並行	병행
乾杯	건배
予言	예언
争議	쟁의
仲人	중매인
公定	공정(公定)
共用	공용
初心	초심
利き目	효과, 효험
加わる	더해지다, 가담하다
労力	노력, 품
反逆	반역
収める	거두다, 넣다
取り込む	받아들이다, 거두어들이다
命中	명중
坊さん	스님
増える	늘다
夕暮れ	해질녘
多忙	다망함, 매우 바쁨
大根	무
実費	실비
寄贈	기증
師走	섣달, 12월
帰化	귀화
年表	연표
強要	강요
当番	당번
待ち構える	벼르며 기다리다
後ろ向き	뒤를 향함, 소극적임
感受性	감수성
打ち込む	박아 넣다, 몰두하다
払う	지불하다, 털다
掃除機	청소기
授与	수여
放つ	쏘다, 놓아주다
日焼け	햇볕에 탐
日誌	일지
昔話	옛날이야기
暖かい	따뜻하다
有限	유한함
期末	기말
材木	목재
柔らか	부드러움
根っ子	뿌리
根気	끈기
正確	정확함
歯ブラシ	칫솔
河岸	강기슭
漁村	어촌
灰皿	재떨이
無休	무휴
焼き肉	야키니쿠, 불고기
特訓	특훈
申す	말씀드리다
疑わしい	의심스럽다
秒読み	초읽기
精通	정통함
習得	습득
育つ	자라다
腕前	솜씨, 실력
草花	화초
荒れる	거칠어지다, 험해지다
装う	차려입다, 가장하다
見放す	포기하다, 저버리다
誤差	오차
論理的	논리적
軟化	연화, 누그러짐
農耕	농경
逆効果	역효과
鉄棒	철봉
銅像	동상
防水	방수
防音	방음
陽気	쾌활함, 날씨
電球	전구
預ける	맡기다
飛ぶ	날다
食中毒	식중독
倒す	쓰러뜨리다
備わる	갖추어지다
分量	분량
初歩	초보
勤め先	직장
収まる	들어가다, 수습되다
否認	부인
命じる	명하다
囲い	울타리
報じる	보도하다
委任	위임
定型	정형
定食	정식
実在	실재
小包	소포
小指	새끼손가락
快い	기분 좋다
快晴	쾌청
愛想	붙임성
愛用	애용
愛読	애독
敬老	경로
文法	문법
断じて	단연코, 결코
断定	단정
断水	단수
断絶	단절
昼寝	낮잠
晴天	맑은 하늘
有機物	유기물
木綿	무명, 목화
水蒸気	수증기
決める	정하다
油断	방심
洋酒	양주
浴びせる	끼얹다, 퍼붓다
満面	만면
演ずる	연기하다
熱湯	끓는 물
甘味	단맛
看病	간병
祈願	기원
笑う	웃다
続出	속출
聞き取り	듣기, 청취
航空便	항공편
苦心	고심
荒す	황폐하게 하다
落ち葉	낙엽
蒸す	찌다
補足	보충
追い出す	쫓아내다
逃れる	벗어나다, 도피하다
逆さ	거꾸로임
酒屋	술집, 주류점
防戦	방어전
雪解け	눈 녹음, 해빙
不眠	불면
乗り換える	갈아타다
他殺	타살
休息	휴식
伸び伸び	느긋하게, 쭉쭉
先入観	선입관
前払い	선불
半身	반신
取り消す	취소하다
向かう	향하다
呼び名	통칭, 부르는 이름
固さ	단단함
夜景	야경
定まる	정해지다
岸辺	물가
役に立つ	도움이 되다
待ち望む	고대하다
御化け	귀신, 도깨비
心得	소양, 마음가짐
必修	필수
悲しむ	슬퍼하다
戻す	되돌리다
時機	시기, 기회
暴れる	날뛰다
有り様	모양, 실태
未練	미련
杯	잔
枯れる	시들다
極楽	극락
残暑	늦더위
水爆	수소폭탄
沸かす	끓이다
波長	파장
深い	깊다
測る	재다, 측정하다
無風	무풍
片側	한쪽
由緒	유서, 내력
発育	발육
白衣	흰옷, 가운
短期大学	전문대학
禁物	금물
空想	공상
立ち寄る	들르다
背骨	등뼈, 척추
転居	이사
迷路	미로
適性	적성
際限	한계, 끝
電圧	전압
面談	면담
預かる	맡다, 보관하다
食い込む	파고들다
一部分	일부분
不断	부단함, 끊임없음
丸み	둥그스름함
仲良し	친한 친구
似通う	비슷하다
保温	보온
入荷	입하
公布	공포(公布)
冷える	식다, 차가워지다
冷やす	식히다, 차게 하다
初級	초급
刺さる	박히다, 꽂히다
加える	더하다, 가하다
動静	동정, 동향
反する	반하다, 어긋나다
合板	합판
同性	동성
吹き出す	뿜어 나오다, 웃음이 터지다
呼び出す	불러내다
固形	고형
大仏	대불
学位	학위
寝台	침대
彼岸	피안, 춘·추분 무렵
快楽	쾌락
手探り	더듬어 찾음
挟む	끼우다
採集	채집
旧式	구식
星座	별자리
暖まる	따뜻해지다
末日	말일
枯れ葉	마른 잎
横断歩道	횡단보도
歯磨き	양치질
決まり	규칙, 결정
浮気	바람기
灯台	등대
無論	물론
無造作	손쉬움, 무심함
煙突	굴뚝
物置	광, 창고
現れる	나타나다
百姓	농민
的中	적중
社交	사교
祝う	축하하다
笑い声	웃음소리
終点	종점
草木	초목
薄暗い	어둑하다
行程	여정, 노정
裏口	뒷문
認め	인정, 승인
貧弱	빈약함
起床	기상
身近	가까움, 친숙함
辛い	맵다
迎える	맞이하다
野原	들판
録音テープ	녹음테이프
閉じる	닫다, 감다
雇う	고용하다
電灯	전등
一昔	옛날, 10년 전쯤
不器用	서투름, 손재주 없음
中産階級	중산층
乾季	건기
付録	부록
似合う	어울리다
切り捨てる	잘라 버리다, 버림하다
切断	절단
取り替える	바꾸다, 교체하다
同封	동봉
地平線	지평선
奥様	사모님, 부인
山登り	등산
山積	산적, 쌓임
年号	연호
座る	앉다
後戻り	되돌아감
得る	얻다, 할 수 있다
押し付ける	강요하다, 억누르다
拡声機	확성기
指図	지시
改めて	다시, 새삼
方位	방위
方程式	방정식
日当たり	볕이 듦
末っ子	막내
横顔	옆얼굴
海水浴	해수욕
温帯	온대
溶かす	녹이다
無法	무법
特技	특기
独学	독학
痛ましい	가엾다, 애처롭다
白熱	백열
直感	직감
着替え	갈아입을 옷
立て続け	연달아
精算	정산
美容院	미용실
腕力	완력
荒野	황야
迷う	헤매다, 망설이다
逆境	역경
通り過ぎる	지나치다
連ねる	늘어놓다
遅刻	지각
遊ぶ	놀다
長方形	직사각형
閉める	닫다
防ぐ	막다
お守り	부적
三流	삼류
不毛	불모
伸びる	늘어나다, 자라다
値打ち	값어치, 가치
入れ歯	틀니
再来年	내후년
冷や汗	식은땀
到底	도저히
割る	나누다, 깨다
包み	꾸러미
包帯	붕대
和やか	화기애애함
四角い	네모나다
回数券	회수권
図表	도표
増やす	늘리다
実用的	실용적
富む	풍부하다
居眠り	앉아서 졺
年輪	나이테
強調	강조
後片付け	뒷정리
応ずる	응하다
急変	급변
手遅れ	때늦음
折り返し	즉시 회신, 되돌아옴
捕る	잡다
探究	탐구
晴れる	개다
案の定	아니나 다를까
歳末	연말
毛糸	털실
治る	낫다
混同	혼동
湿っぽい	눅눅하다
満ちる	가득 차다
満月	보름달
無口	과묵함
無知	무지함
熱する	가열하다
現住所	현주소
現像	현상(사진)
着替える	갈아입다
窓際	창가
衣食住	의식주
要点	요점
見違える	잘못 보다, 몰라보다
覚える	외우다, 기억하다
論じる	논하다
途絶える	끊기다
針金	철사
鉄橋	철교
飛ばす	날리다
並列	병렬
中性	중성
体積	부피
初恋	첫사랑
口数	말수
台無し	엉망이 됨
同列	같은 줄, 동렬
名付ける	이름 붙이다
塗る	칠하다, 바르다
塩水	소금물
専ら	오로지
尊い	귀하다, 소중하다
幼なじみ	소꿉친구
座布団	방석
感ずる	느끼다
捕える	붙잡다
掘る	파다
損得	손익
故事	고사
散る	지다, 흩어지다
敬語	경어
方角	방향, 방위
時報	시보
汚れる	더러워지다
決め付ける	단정 짓다
消す	끄다, 지우다
焼き鳥	야키토리, 닭꼬치
留年	유급
目玉商品	특가 상품
知覚	지각(知覺)
祝電	축전
程	정도, 만큼
積み立て	적립
空腹	공복
絵葉書	그림엽서
編み物	뜨개질
置物	장식품
老若	노소
裏表	안팎, 표리
論ずる	논하다
貨車	화차
違う	다르다
降る	내리다(비·눈)
不慣れ	익숙하지 않음
不条理	부조리함
与える	주다
主観	주관
乗車券	승차권
作製	제작
例え	예, 비유
例える	비유하다
冷たい	차갑다
勝つ	이기다
占う	점치다
取り分け	특히
名札	명찰
名著	명저
含む	포함하다
坊主	중, 스님
埋まる	묻히다, 메워지다
安静	안정(安靜)
延べ	연(延), 선물거래
形容詞	형용사
彼方	저편, 저쪽
念入り	공들임, 정성스러움
怒鳴る	고함치다
恥ずかしい	부끄럽다
打ち上げる	쏘아 올리다
整う	갖추어지다
曲がる	구부러지다, 돌다
歩み寄る	다가서다, 타협하다
気の毒	딱함, 안됐음
気性	기질, 성미
泣き声	울음소리
洗面	세면
洗面所	세면장
流行歌	유행가
海流	해류
涼風	시원한 바람
済ます	끝내다, 마치다
減点	감점
無地	무늬 없음, 민무늬
無形	무형
無欲	무욕
硬化	경화
私費	사비
複写	복사
要約	요약
見渡す	둘러보다
追突	추돌
連想	연상
難い	~하기 어렵다
飛び下りる	뛰어내리다
不平	불평
並ぶ	줄서다, 늘어서다
中和	중화
人文科学	인문과학
今晩	오늘 밤
仮定	가정(假定)
似る	닮다
値する	값하다, ~할 만하다
健やか	건강함
冷める	식다
割れ目	갈라진 틈
厚い	두껍다
同化	동화(同化)
固い	단단하다
夕焼け	저녁노을
存じる	알다, 생각하다(겸양)
実話	실화
害する	해치다
寒冷	한랭함
心当たり	짚이는 데
打ち消す	부정하다
故に	그러므로
果たす	완수하다, 다하다
横書き	가로쓰기
泊まる	묵다
海抜	해발
演じる	연기하다
疲れる	지치다
目印	표시, 표적
眠気	졸음
細やか	자잘함, 소박함
美化	미화
蒸発	증발
負ける	지다
超す	넘다
逃げ出す	도망치다
難易	난이
ご苦労さま	수고하셨습니다
乗っ取る	탈취하다, 납치하다
人並み	남들만큼
人殺し	살인
体得	체득
何故	왜
信ずる	믿다
共通語	공통어
冷蔵	냉장
善悪	선악
困る	곤란하다
大脳	대뇌
寒波	한파
察する	헤아리다, 짐작하다
平気	태연함, 아무렇지 않음
張り出す	내밀다, 게시하다
張本人	장본인
手数	수고, 번거로움
折り返す	접어 젖히다, 되돌아오다
散々	심하게, 형편없이
日和	날씨
時間割	시간표
極める	극하다, 다하다
横文字	가로글씨, 서양 글
正方形	정사각형
水滴	물방울
法外	터무니없음
浮かぶ	뜨다, 떠오르다
涼しい	시원하다
点火	점화
無害	무해함
無能	무능함
用例	용례
目次	목차
眠い	졸리다
礼状	감사 편지
若い	젊다
言い換える	바꿔 말하다
賢い	현명하다
身寄り	의지할 친척
迷子	미아
野性	야성
鈍い	무디다, 둔하다
鈍感	둔감함
閉じこもる	틀어박히다
上達	향상, 숙달
乗り降り	타고 내림
交わる	교차하다, 사귀다
交差	교차
人相	인상, 관상
冷やかす	놀리다, 冷やかす
和英	일영(일본어-영어)
器官	기관(器官)
四角	사각
報いる	보답하다
大麦	보리
失礼	실례
左利き	왼손잡이
拝見	배견, 삼가 봄
気付く	알아차리다
水平線	수평선
焼きそば	야키소바
照らす	비추다
照る	빛나다, 비치다
率いる	이끌다
用件	용건
突っ込む	찔러 넣다, 파고들다
絡む	얽히다, 시비 걸다
若々しい	젊디젊다
落ちこぼれ	낙오자, 부스러기
行き違い	엇갈림
裏通り	뒷골목
親愛	친애
詰まり	즉, 결국
話し言葉	구어, 입말
身の上	신상, 처지
軒並	집집마다, 일제히
辛抱	참음, 인내
過ごす	보내다, 지내다
適量	적당량
間違える	잘못하다, 틀리다
険しい	험하다
面する	면하다, 향하다
願う	바라다
お世辞	빈말, 아첨
主観的	주관적
久しい	오래되다
付着	부착
伸びやか	느긋함, 시원스러움
偉人	위인
停学	정학
光熱費	광열비
内職	부업
凍る	얼다
化ける	둔갑하다
原っぱ	빈터, 들판
可愛い	귀엽다
夢想	몽상
寝床	잠자리
差し上げる	드리다
情け	인정, 동정
散髪	이발
暗記	암기
暴風雨	폭풍우
朝礼	조례
正装	정장
歯医者	치과의사
温和	온화함
濃い	진하다, 짙다
無情	무정함
無意味	무의미함
無神経	무신경함
無色	무색
片仮名	가타카나
独り占め	독차지
独り言	혼잣말
略語	약어
省略	생략
等価	등가
草食	초식
費やす	쓰다, 소비하다
資本家	자본가
身軽	몸이 가벼움, 홀가분함
間違う	틀리다, 잘못되다
非常識	몰상식함
領収	영수
顔付き	얼굴 생김새
不始末	부주의, 뒤처리 안 함
不確か	불확실함
中指	가운뎃손가락
二流	이류
似合い	잘 어울림
偶数	짝수
制止	제지
動詞	동사
原書	원서
各位	각위, 여러분
坊ちゃん	도련님
基づく	근거하다, 기초하다
客車	객차
寄生	기생
対する	대하다, 마주하다
忘れ物	분실물, 잊은 물건
怖がる	무서워하다
持ち直す	회복되다, 다시 들다
整列	정렬
果てしない	끝없다
気取る	잘난 체하다
洋式	서양식
消灯	소등
湯気	김, 수증기
珍しい	드물다, 진귀하다
目覚める	잠에서 깨다
礼金	사례금
禁ずる	금하다
禁酒	금주
秒	초(秒)
突っ張る	뻗대다, 땅기다
等分	등분
練る	반죽하다, 다듬다
耕す	갈다, 경작하다
肌着	속옷
軽薄	경박함
逃がす	놓아주다, 놓치다
閉口	질림, 두 손 듦
雑	조잡함
香る	향기가 나다
交じる	섞이다
内向	내향
冬眠	동면
吸う	빨다, 피우다
命ずる	명하다
和らぐ	누그러지다
和らげる	누그러뜨리다
夢中	열중함, 몰두함
実る	열매 맺다
寄せ集め	긁어모음, 잡동사니
差し出す	내밀다, 제출하다
平方	제곱, 평방
恐る恐る	조심조심, 겁내며
成る	되다
抜かす	빠뜨리다, 건너뛰다
日光浴	일광욕
枝葉	가지와 잎, 지엽
次男	차남
泊める	묵게 하다, 재우다
清らか	맑음, 깨끗함
無心	무심함
犯す	범하다, 저지르다
申し出る	신청하다, 자청하다
目覚まし時計	자명종
直角	직각
相関	상관
礼服	예복
約	약, 대략
純情	순정
苦笑い	쓴웃음
荒っぽい	거칠다
葉っぱ	잎사귀
薄める	묽게 하다
見捨てる	저버리다, 내버리다
話し込む	이야기에 몰두하다
過ぎる	지나다, 지나치다
降水	강수
不得意	서투름
人造	인조
供える	바치다, 올리다
兆	조(兆)
前触れ	예고, 전조
割に	비교적, 생각보다
参る	가다, 오다(겸양)
取り寄せる	주문해 들이다
失恋	실연
専念	전념
差し支え	지장
差し支える	지장이 있다
当たる	맞다, 당첨되다
形見	유품, 기념물
息切れ	숨참
悲しい	슬프다
慣らす	길들이다, 익숙하게 하다
承る	삼가 듣다
捕まえる	붙잡다
操る	조종하다, 다루다
暗示	암시
曲げる	구부리다
横切る	가로지르다
毒薬	독약
汚い	더럽다
無礼	무례함
積もり	작정, 생각
積もる	쌓이다
競う	겨루다
符号	부호
細長い	가늘고 길다
船便	배편
見苦しい	보기 흉하다
逃げ道	도망갈 길, 발뺌
適する	적합하다
雨戸	덧문
お参り	참배
予習	예습
余す	남기다
偉い	훌륭하다, 대단하다
優越感	우월감
八つ当たり	화풀이
助かる	살아나다, 도움이 되다
十字路	사거리
取り出す	꺼내다
受け付ける	접수하다, 받아들이다
名案	묘안
姓名	성명
定規	자(제도용)
寝返り	뒤척임, 배반
尊ぶ	존중하다, 귀히 여기다
平仮名	히라가나
志す	뜻을 두다
恋しい	그립다
恋する	사랑하다
日暮れ	해질녘
早速	즉시, 당장
殺到	쇄도
現す	나타내다
発散	발산
白線	흰 선
相殺	상쇄
真面目	성실함, 진지함
荒い	거칠다
落ち着く	진정되다, 안정되다
薄まる	묽어지다
裏返す	뒤집다
触る	만지다
認める	인정하다
賛美	찬미
足し算	덧셈
間一髪	간발의 차
お礼	사례, 감사 인사
乾物	건어물, 마른 식품
体温計	체온계
偶像	우상
冷え込む	쌀쌀해지다
初雪	첫눈
取り組む	씨름하다, 몰두하다
